,album,artist,lyric,song
0,Undeniable (2012),Young Sinatra,Yeah; pass the mic before I jack it like gore-tex,Disgusting
1,Undeniable (2012),Young Sinatra,"Bust like raw sex, rappers suck like vortex",Disgusting
2,Undeniable (2012),Young Sinatra,"The life of a Don- We living like kings, and killing our pawns",Disgusting
3,Undeniable (2012),Young Sinatra,"Boy, the seconds it's on - don't know where we going",Disgusting
4,Undeniable (2012),Young Sinatra,I'm flowing and killing this shit from dusk till dawn,Disgusting
5,Undeniable (2012),Young Sinatra,Just had sex with a Middle Eastern girl- The pussy was bomb,Disgusting
6,Undeniable (2012),Young Sinatra,That last line made no sense like these rappers' careers,Disgusting
7,Undeniable (2012),Young Sinatra,"But I make dollars, 'cause I'm all about the fiscal year",Disgusting
8,Undeniable (2012),Young Sinatra,Yeah; you don't like me? I'll conjure up and summon all your fears,Disgusting
9,Undeniable (2012),Young Sinatra,You wanna fight me? I'll woop my own ass before you get here,Disgusting
10,Undeniable (2012),Young Sinatra,Wanna write me? And tell me that my rhymes suck?,Disgusting
11,Undeniable (2012),Young Sinatra,"Bitch I don't give a fuck, I'll stab you in the gut, call it a tummy tuck",Disgusting
12,Undeniable (2012),Young Sinatra,"You can ask my ex, I bust quicker than two techs",Disgusting
13,Undeniable (2012),Young Sinatra,Caressed by a kid with category 5 tourettes,Disgusting
14,Undeniable (2012),Young Sinatra,"In other words I squeeze with ease, dot my I's and cross my T's",Disgusting
15,Undeniable (2012),Young Sinatra,I'm a perfectionist; the lesson is fuck everyone assessing this,Disgusting
16,Undeniable (2012),Young Sinatra,"It's hip-hop, not to be taken literally",Disgusting
17,Undeniable (2012),Young Sinatra,However on the light of note I stayed with bills like Hilary,Disgusting
18,Undeniable (2012),Young Sinatra,"My flow convects, murder subjects with little respect",Disgusting
19,Undeniable (2012),Young Sinatra,"Best protect your neck, before you play my tape better inspect the deck",Disgusting
20,Undeniable (2012),Young Sinatra,Fuck every other rapper forever ever forever since the dawn of time,Disgusting
21,Undeniable (2012),Young Sinatra,Sike- I'm not that much of a dick when I rhyme,Disgusting
22,Undeniable (2012),Young Sinatra,"On another level like duplex, bust heads like suplex",Disgusting
23,Undeniable (2012),Young Sinatra,Slaughter MC's then ask who's next...,Disgusting
24,Undeniable (2012),Young Sinatra,I murdered my manager Chris last night,Disgusting
25,Undeniable (2012),Young Sinatra,"We exchanged a couple words, he said some things I didn't like",Disgusting
26,Undeniable (2012),Young Sinatra,I said okay... then punched him in the face with a butcher knife,Disgusting
27,Undeniable (2012),Young Sinatra,I want more like Ashton Kutcher's wife,Disgusting
28,Undeniable (2012),Young Sinatra,Now can you feel it? They won't {Sinatra},Disgusting
29,Undeniable (2012),Young Sinatra,"Gimme what I want, so fuck it I'm a steal it",Disgusting
30,Undeniable (2012),Young Sinatra,"I'll dilapidate you, grab the butter knife and decapitate you",Disgusting
31,Undeniable (2012),Young Sinatra,"Yeah that's what I said - huh, and bitch I did it",Disgusting
32,Undeniable (2012),Young Sinatra,We all have thoughts like this; I'm just willing to admit it,Disgusting
33,Undeniable (2012),Young Sinatra,"I would never act upon these thoughts now, don't you get it?",Disgusting
34,Undeniable (2012),Young Sinatra,"It's like when a gentleman sees the baddest bitch and thinks, ""I'd hit it!""",Disgusting
35,Undeniable (2012),Young Sinatra,But he never says it; I'll dump your body in a dessert,Disgusting
36,Undeniable (2012),Young Sinatra,It's the wrath of a psychopath clutching a razor blade in a bath,Disgusting
